# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2288.07844043   0.00000000   0.0000
  1  -2291.92318888  -3.84474844  -88.6618
  2  -2292.09071772  -4.01227728  -92.5251
  3  -2291.97993782  -3.90149738  -89.9705
  4  -2291.76816104  -3.68972061  -85.0868
  5  -2291.07129989  -2.99285946  -69.0168
  6  -2291.07081029  -2.99236985  -69.0055
  7  -2291.06290855  -2.98446811  -68.8233
  8  -2291.15209489  -3.07365445  -70.8800
  9  -2291.16867868  -3.09023825  -71.2624
 10  -2291.28474138  -3.20630094  -73.9389
 11  -2291.22348527  -3.14504484  -72.5263
 12  -2291.16350404  -3.08506360  -71.1431
 13  -2291.06995922  -2.99151879  -68.9859
 14  -2291.10962258  -3.03118215  -69.9006
 15  -2289.05653971  -0.97809927  -22.5555
