# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2292.09071771   0.00000000   0.0000
  1  -2292.13705529  -0.04633758  -1.0686
  2  -2292.13311911  -0.04240140  -0.9778
  3  -2292.08561319   0.00510452   0.1177
  4  -2291.95995809   0.13075962   3.0154
  5  -2291.81852103   0.27219668   6.2770
  6  -2291.64091264   0.44980507   10.3727
  7  -2291.39144068   0.69927703   16.1257
  8  -2290.76160091   1.32911681   30.6501
  9  -2286.18539845   5.90531926   136.1796
 10  -2286.50207715   5.58864057   128.8768
 11  -2251.88313305   40.20758467   927.2070
 12  -2243.49604007   48.59467764   1120.6176
 13  -2261.30210094   30.78861677   710.0009
 14  -2285.94641901   6.14429871   141.6906
 15  -2289.58934717   2.50137054   57.6829
 16  -2291.07081027   1.01990744   23.5196
