# reactant_idx  reactant_el  ->  product_idx  product_el  displacement(A)
 0  O   ->   0  O   1.0022
 1  O   ->   1  O   0.7574
 2  O   ->   2  O   1.6090
 3  O   ->   3  O   0.3942
 4  O   ->   4  O   1.4569
 5  O   ->   5  O   2.1471
 6  C   ->   6  C   0.6181
 7  C   ->   7  C   0.2341
 8  C   ->   8  C   0.6848
 9  C   ->   9  C   0.4503
10  C   ->  10  C   0.7051
11  C   ->  11  C   1.6731
12  H   ->  12  H   0.8894
13  H   ->  13  H   0.5751
14  H   ->  14  H   0.9761
15  H   ->  15  H   1.0023
16  H   ->  16  H   0.8122
17  H   ->  17  H   1.2376
18  H   ->  18  H   0.9193
19  H   ->  20  H   1.3964
20  H   ->  19  H   3.4487
21  H   ->  21  H   2.3220
22  H   ->  22  H   2.4051
23  H   ->  23  H   0.8563
24  O   ->  24  O   1.4423
25  O   ->  25  O   2.1341
26  O   ->  26  O   0.8126
27  N   ->  27  N   1.4946
28  N   ->  28  N   0.7157
29  C   ->  29  C   0.8163
30  C   ->  30  C   0.5639
31  C   ->  31  C   1.4636
32  C   ->  32  C   0.3538
33  H   ->  33  H   1.2741
34  H   ->  34  H   1.4694
35  H   ->  35  H   1.2883
36  H   ->  36  H   1.4310
37  H   ->  43  H   3.2296
38  H   ->  38  H   1.3349
39  H   ->  39  H   0.6290
40  H   ->  40  H   2.1604
41  O   ->  41  O   2.5414
42  H   ->  37  H   3.3854
43  H   ->  42  H   2.5637
