# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2153.63836176  -0.00000001  -0.0000
  1  -2153.71048504  -0.07212329  -1.6632
  2  -2153.52925100   0.10911075   2.5161
  3  -2153.23169737   0.40666438   9.3779
  4  -2152.72165653   0.91670522   21.1397
  5  -2152.92544081   0.71292094   16.4403
  6  -2152.93222662   0.70613513   16.2838
  7  -2152.91146866   0.72689310   16.7625
  8  -2152.83814597   0.80021578   18.4534
  9  -2152.74734825   0.89101350   20.5472
 10  -2152.65330161   0.98506014   22.7160
 11  -2152.60404779   1.03431396   23.8518
 12  -2152.54855483   1.08980692   25.1315
 13  -2152.45563850   1.18272325   27.2742
