# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2152.70533045   0.00000005   0.0000
  1  -2152.74695341  -0.04162291  -0.9598
  2  -2152.78147422  -0.07614372  -1.7559
  3  -2152.72084693  -0.01551644  -0.3578
  4  -2152.84801815  -0.14268766  -3.2904
  5  -2152.76673807  -0.06140758  -1.4161
  6  -2153.08796715  -0.38263666  -8.8238
  7  -2153.61541754  -0.91008705  -20.9871
  8  -2153.51316819  -0.80783769  -18.6291
  9  -2153.22653773  -0.52120724  -12.0193
 10  -2153.30986560  -0.60453511  -13.9409
 11  -2153.74738720  -1.04205671  -24.0303
 12  -2153.49511697  -0.78978648  -18.2129
 13  -2153.55551431  -0.85018381  -19.6057
 14  -2153.61459398  -0.90926349  -20.9681
 15  -2153.73255013  -1.02721964  -23.6882
 16  -2153.63836183  -0.93303133  -21.5162
