# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2152.70533045   0.00000005   0.0000
  1  -2152.73627166  -0.03094117  -0.7135
  2  -2152.76263289  -0.05730240  -1.3214
  3  -2152.87513776  -0.16980726  -3.9158
  4  -2152.80377643  -0.09844593  -2.2702
  5  -2152.73485139  -0.02952089  -0.6808
  6  -2153.34751505  -0.64218456  -14.8091
  7  -2153.61986609  -0.91453559  -21.0896
  8  -2153.72938676  -1.02405626  -23.6152
  9  -2153.73046315  -1.02513266  -23.6401
 10  -2153.67221969  -0.96688920  -22.2969
 11  -2153.62535629  -0.92002580  -21.2163
 12  -2153.55014264  -0.84481214  -19.4818
 13  -2153.72033860  -1.01500810  -23.4066
 14  -2153.70212528  -0.99679478  -22.9866
 15  -2153.70067944  -0.99534894  -22.9532
 16  -2153.63836183  -0.93303133  -21.5162
