# image_index  UMA_energy(eV)  UMA_rel_to_img0(eV)  UMA_rel(kcal/mol)  GFN2_energy(eV)  GFN2_rel(kcal/mol)
  0  -34183.04680825   0.00000000   0.0000  -2152.70533045   0.0000
  1  -34182.97225955   0.07454870   1.7191  -2152.73627166  -0.7135
  2  -34182.59796490   0.44884335   10.3506  -2152.76263289  -1.3214
  3  -34182.58100578   0.46580247   10.7416  -2152.87513776  -3.9158
  4  -34182.89604440   0.15076385   3.4767  -2152.80377643  -2.2702
  5  -34182.49604631   0.55076195   12.7008  -2152.73485139  -0.6808
  6  -34182.63539330   0.41141495   9.4874  -2153.34751505  -14.8091
  7  -34182.96548256   0.08132569   1.8754  -2153.61986609  -21.0896
  8  -34183.12373947  -0.07693121  -1.7741  -2153.72938676  -23.6153
  9  -34183.13948880  -0.09268055  -2.1373  -2153.73046315  -23.6401
 10  -34183.07879471  -0.03198646  -0.7376  -2153.67221969  -22.2969
 11  -34182.98747660   0.05933166   1.3682  -2153.62535629  -21.2163
 12  -34182.93623284   0.11057542   2.5499  -2153.55014264  -19.4818
 13  -34183.09850834  -0.05170009  -1.1922  -2153.72033860  -23.4066
 14  -34183.05574058  -0.00893232  -0.2060  -2153.70212528  -22.9866
 15  -34183.04589163   0.00091663   0.0211  -2153.70067944  -22.9532
 16  -34183.17430644  -0.12749818  -2.9402  -2153.63836183  -21.5162
