# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2152.46918487   0.00000000   0.0000
  1  -2152.76937675  -0.30019189  -6.9226
  2  -2152.75564008  -0.28645522  -6.6058
  3  -2152.79745117  -0.32826630  -7.5700
  4  -2152.17947266   0.28971221   6.6809
  5  -2148.40639146   4.06279341   93.6900
  6  -2148.36525392   4.10393094   94.6387
  7  -2145.48594051   6.98324436   161.0371
  8  -2149.01366851   3.45551636   79.6859
  9  -2153.23707184  -0.76788697  -17.7079
 10  -2153.48930172  -1.02011685  -23.5244
 11  -2153.61563898  -1.14645412  -26.4378
 12  -2153.73241591  -1.26323104  -29.1307
 13  -2153.63836183  -1.16917696  -26.9618
