# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -34183.14058744  -0.00000013  -0.0000
  1  -34183.14660625  -0.00601893  -0.1388
  2  -34183.14546105  -0.00487373  -0.1124
  3  -34183.13992259   0.00066472   0.0153
  4  -34183.11456202   0.02602530   0.6002
  5  -34183.11030004   0.03028727   0.6984
  6  -34183.14993214  -0.00934483  -0.2155
  7  -34183.13893331   0.00165400   0.0381
  8  -34183.11832256   0.02226476   0.5134
  9  -34183.00697533   0.13361198   3.0812
 10  -34183.02147910   0.11910821   2.7467
 11  -34182.86935321   0.27123410   6.2548
 12  -34182.73424610   0.40634121   9.3704
 13  -34182.53563433   0.60495298   13.9505
 14  -34183.09908843   0.04149888   0.9570
 15  -34182.95215174   0.18843558   4.3454
 16  -34182.86192716   0.27866016   6.4260
 17  -34182.89801500   0.24257231   5.5938
 18  -34182.91573320   0.22485411   5.1852
 19  -34182.88631767   0.25426964   5.8636
