# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -34182.82975593  -0.00000047  -0.0000
  1  -34182.90663769  -0.07688223  -1.7729
  2  -34182.93857701  -0.10882155  -2.5095
  3  -34182.93006812  -0.10031266  -2.3133
  4  -34182.97582765  -0.14607219  -3.3685
  5  -34183.12390247  -0.29414701  -6.7832
  6  -34183.18306580  -0.35331034  -8.1475
  7  -34183.04634525  -0.21658979  -4.9947
  8  -34183.13628315  -0.30652769  -7.0687
  9  -34183.09937080  -0.26961534  -6.2175
 10  -34182.85694235  -0.02718689  -0.6269
 11  -34183.13882084  -0.30906538  -7.1272
 12  -34183.27363911  -0.44388365  -10.2362
 13  -34183.27674661  -0.44699116  -10.3078
