# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2153.66391141   0.00000006   0.0000
  1  -2153.72412417  -0.06021270  -1.3885
  2  -2153.70618370  -0.04227223  -0.9748
  3  -2153.69005997  -0.02614850  -0.6030
  4  -2153.69645153  -0.03254006  -0.7504
  5  -2153.70695610  -0.04304463  -0.9926
  6  -2153.73607749  -0.07216602  -1.6642
  7  -2153.73889145  -0.07497997  -1.7291
  8  -2153.65522416   0.00868731   0.2003
  9  -2151.88862555   1.77528592   40.9390
 10  -2152.11290976   1.55100172   35.7669
 11  -2152.09884191   1.56506956   36.0913
 12  -2152.03637584   1.62753563   37.5318
 13  -2152.44209829   1.22181318   28.1756
 14  -2152.54712178   1.11678969   25.7537
 15  -2152.63212345   1.03178802   23.7935
 16  -2152.60425333   1.05965814   24.4362
 17  -2152.81152931   0.85238216   19.6564
 18  -2152.81186342   0.85204805   19.6487
 19  -2153.33367810   0.33023337   7.6153
