# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2153.66391141   0.00000000   0.0000
  1  -2153.72712341  -0.06321200  -1.4577
  2  -2153.72094695  -0.05703554  -1.3153
  3  -2153.69770030  -0.03378889  -0.7792
  4  -2153.70736345  -0.04345203  -1.0020
  5  -2153.71717162  -0.05326020  -1.2282
  6  -2153.75739792  -0.09348650  -2.1558
  7  -2153.09438403   0.56952739   13.1336
  8  -2147.84936301   5.81454840   134.0864
  9  -2141.93895599   11.72495543   270.3833
 10  -2151.68201744   1.98189397   45.7035
 11  -2152.10077459   1.56313683   36.0467
 12  -2152.15066558   1.51324584   34.8962
 13  -2152.42472633   1.23918509   28.5762
 14  -2152.57895890   1.08495252   25.0195
 15  -2152.65247544   1.01143597   23.3242
 16  -2152.66939317   0.99451824   22.9341
 17  -2152.86483766   0.79907375   18.4270
 18  -2152.85385055   0.81006087   18.6804
 19  -2153.33367810   0.33023331   7.6153
