# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -34183.27894107   0.00000028   0.0000
  1  -34183.26412999   0.01481137   0.3416
  2  -34183.19550184   0.08343952   1.9242
  3  -34183.23408003   0.04486132   1.0345
  4  -34183.26571999   0.01322136   0.3049
  5  -34183.22446451   0.05447684   1.2563
  6  -34183.23493096   0.04401039   1.0149
  7  -34183.22446678   0.05447457   1.2562
  8  -34183.20928739   0.06965396   1.6063
  9  -34181.74759507   1.53134628   35.3136
 10  -34181.24954820   2.02939315   46.7988
 11  -34181.21782582   2.06111553   47.5304
 12  -34181.61906645   1.65987490   38.2775
 13  -34181.79519022   1.48375113   34.2160
 14  -34183.36978341  -0.09084206  -2.0949
 15  -34182.13116800   1.14777336   26.4682
 16  -34182.20918381   1.06975754   24.6691
 17  -34182.22691649   1.05202486   24.2602
 18  -34182.55706053   0.72188082   16.6469
 19  -34183.31699232  -0.03805097  -0.8775
