# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2291.89412272   0.00000000   0.0000
  1  -2287.41303012   4.48109260   103.3362
  2  -2285.64010806   6.25401467   144.2207
  3  -2285.68604928   6.20807344   143.1613
  4  -2286.81195975   5.08216298   117.1972
  5  -2276.51556056   15.37856217   354.6373
  6  -2277.76758977   14.12653296   325.7649
  7  -2290.20705062   1.68707210   38.9047
  8  -2290.35305845   1.54106427   35.5377
  9  -2290.47114232   1.42298040   32.8146
 10  -2290.45848270   1.43564002   33.1066
 11  -2290.74046281   1.15365991   26.6040
 12  -2291.60288017   0.29124256   6.7162
 13  -2290.52349316   1.37062957   31.6074
 14  -2290.68355370   1.21056902   27.9163
