# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2153.63836176   0.00000000   0.0000
  1  -2153.72317114  -0.08480939  -1.9557
  2  -2153.68557682  -0.04721506  -1.0888
  3  -2153.51382187   0.12453989   2.8720
  4  -2153.56238107   0.07598069   1.7522
  5  -2153.27007358   0.36828817   8.4929
  6  -2152.90792878   0.73043298   16.8441
  7  -2152.82965968   0.80870208   18.6491
  8  -2152.90908254   0.72927922   16.8175
  9  -2152.98409733   0.65426443   15.0877
 10  -2152.99485210   0.64350966   14.8397
 11  -2152.93222662   0.70613514   16.2838
