# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2153.72317114   0.00000000   0.0000
  1  -2151.66921413   2.05395701   47.3653
  2  -2151.93671029   1.78646085   41.1967
  3  -2152.86085861   0.86231253   19.8854
  4  -2152.79889441   0.92427674   21.3143
  5  -2152.91779158   0.80537956   18.5725
  6  -2152.69659318   1.02657796   23.6734
  7  -2152.54392903   1.17924211   27.1939
  8  -2152.17394203   1.54922911   35.7260
  9  -2152.70215417   1.02101697   23.5452
 10  -2152.26142816   1.46174298   33.7085
 11  -2152.44062061   1.28255053   29.5763
 12  -2152.60367206   1.11949908   25.8162
 13  -2152.69239603   1.03077512   23.7702
 14  -2153.04926422   0.67390693   15.5406
 15  -2152.93222662   0.79094452   18.2396
