# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -2153.27007355   0.00000000   0.0000
  1  -2153.51046534  -0.24039178  -5.5436
  2  -2153.51905973  -0.24898618  -5.7417
  3  -2152.95741796   0.31265560   7.2100
  4  -2150.95870069   2.31137286   53.3014
  5  -2151.73388992   1.53618364   35.4252
  6  -2152.44344630   0.82662726   19.0624
  7  -2152.66787320   0.60220035   13.8870
  8  -2152.74041735   0.52965620   12.2141
  9  -2152.79446358   0.47560998   10.9678
 10  -2152.84463189   0.42544166   9.8109
 11  -2152.88683444   0.38323912   8.8377
 12  -2152.91507381   0.35499974   8.1865
 13  -2152.90792878   0.36214477   8.3512
