# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -34183.13667705   0.00000050   0.0000
  1  -34183.14102042  -0.00434287  -0.1001
  2  -34183.08324042   0.05343713   1.2323
  3  -34177.47664899   5.66002856   130.5231
  4  -34153.70607666   29.43060090   678.6844
  5  -34176.19573331   6.94094424   160.0616
  6  -34182.84561413   0.29106342   6.7121
  7  -34183.21374521  -0.07706765  -1.7772
  8  -34183.15409337  -0.01741582  -0.4016
  9  -34183.19866242  -0.06198487  -1.4294
 10  -34183.27674677  -0.14006922  -3.2301
