# image_index  energy(eV)  relative_to_reactant(eV)  rel(kcal/mol)
  0  -34183.13667773  -0.00000022  -0.0000
  1  -34183.13396974   0.00270777   0.0624
  2  -34183.09274614   0.04393137   1.0131
  3  -34183.26601554  -0.12933803  -2.9826
  4  -34183.29889979  -0.16222228  -3.7409
  5  -34182.89142545   0.24525206   5.6556
  6  -34173.70981579   9.42686172   217.3881
  7  -34166.29770490   16.83897261   388.3151
  8  -34172.36794969   10.76872781   248.3322
  9  -34182.93705035   0.19962715   4.6035
 10  -34183.34661237  -0.20993486  -4.8412
 11  -34183.11415560   0.02252191   0.5194
 12  -34183.11743078   0.01924673   0.4438
 13  -34183.26897115  -0.13229364  -3.0508
 14  -34183.41181886  -0.27514135  -6.3449
 15  -34183.25736302  -0.12068551  -2.7831
 16  -34183.27674712  -0.14006961  -3.2301
